Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad
74.49,28,58996.12,237.34,Persevering eco-centric flexibility,Lake Adrian,0,Peru,2016-01-30 16:15:29,0
73.71,23,56605.12,211.38,Inverse local hub,New Sheila,1,El Salvador,2016-02-15 05:35:54,0
78.19,30,62475.99,228.81,Triple-buffered needs-based Local Area Network,Mollyport,0,Libyan Arab Jamahiriya,2016-01-31 06:14:10,0
79.54,44,70492.6,217.68,Centralized multi-state hierarchy,Sandraland,1,Cambodia,2016-01-05 16:34:31,0
74.87,52,43698.53,126.97,Public-key non-volatile implementation,Charlenetown,0,Saint Barthelemy,2016-05-31 02:17:18,1
87.09,36,57737.51,221.98,Synergized coherent interface,Luischester,1,Reunion,2016-04-21 16:10:50,0
37.45,47,31281.01,167.86,Horizontal high-level concept,South Johnnymouth,0,Antigua and Barbuda,2016-04-10 03:30:16,1
49.84,39,45800.48,111.59,Reduced multimedia project,Hannaport,0,Samoa,2016-02-09 07:21:25,1
51.38,59,42362.49,158.56,Object-based modular functionalities,East Anthony,0,Afghanistan,2016-06-17 17:11:16,1
83.4,34,66691.23,207.87,Polarized multimedia system engine,West Daleborough,0,Azerbaijan,2016-05-22 21:54:23,0
38.91,33,56369.74,150.8,Versatile reciprocal structure,Morrismouth,1,Philippines,2016-07-13 07:41:42,1
62.14,41,59397.89,110.93,Upgradable multi-tasking initiative,North Andrewstad,1,Angola,2016-01-23 18:59:21,1
79.72,28,66025.11,193.8,Configurable tertiary budgetary management,Wrightburgh,1,Albania,2016-05-20 12:17:59,0
73.3,36,68211.35,135.72,Adaptive asynchronous attitude,West Tanya,1,Hungary,2016-01-30 04:38:41,1
69.11,42,73608.99,231.48,Face-to-face mission-critical definition,Novaktown,1,Faroe Islands,2016-04-21 12:34:28,0
71.9,54,61228.96,140.15,Inverse zero tolerance customer loyalty,Timothymouth,1,Czech Republic,2016-04-22 20:32:17,1
72.45,29,72325.91,195.36,Centralized 24hour synergy,Robertmouth,1,Svalbard & Jan Mayen Islands,2016-01-11 06:02:27,0
77.07,40,44559.43,261.02,Face-to-face analyzing encryption,Stephenborough,0,Afghanistan,2016-03-01 10:01:35,0
74.62,36,73207.15,217.79,Self-enabling even-keeled methodology,Lake Kurtmouth,0,Rwanda,2016-04-04 08:19:54,0
82.07,25,46722.07,205.38,Function-based optimizing extranet,Lauraburgh,1,Panama,2016-06-20 06:30:06,0
58.6,50,45400.5,113.7,Organic asynchronous hierarchy,Rogerburgh,0,Samoa,2016-01-28 07:10:29,1
36.08,45,41417.27,151.47,Automated client-driven orchestration,Davidside,1,United States Minor Outlying Islands,2016-07-03 04:11:40,1
79.44,26,60845.55,206.79,Public-key zero-defect analyzer,West Thomas,0,Greece,2016-05-15 13:18:34,0
41.73,47,60812.77,144.71,Proactive client-server productivity,Andersonchester,0,Cote d'Ivoire,2016-04-08 22:48:25,1
73.19,25,64267.88,203.74,Cloned incremental matrices,North Ronaldshire,1,Pakistan,2016-01-19 12:18:13,0
77.6,24,58151.87,197.33,Open-architected system-worthy task-force,Greghaven,1,Anguilla,2016-05-26 15:40:26,0
89.0,37,52079.18,222.26,Devolved regional moderator,Jordanmouth,1,Cyprus,2016-01-26 15:56:55,0
69.2,42,26023.99,123.8,Balanced value-added database,Meyersstad,0,Peru,2016-06-17 09:58:46,1
67.56,31,62318.38,125.45,Seamless composite budgetary management,Michelleside,0,Kenya,2016-04-25 21:15:39,1
81.11,39,56216.57,248.19,Total cohesive moratorium,South Robert,1,Chad,2016-07-13 11:41:29,0
80.22,30,61806.31,224.58,Integrated motivating neural-net,New Tyler,0,Kyrgyz Republic,2016-07-05 15:14:10,0
43.63,41,51662.24,123.25,Exclusive zero tolerance frame,Jordanshire,1,Albania,2016-03-15 14:06:17,1
77.66,29,67080.94,168.15,Operative scalable emulation,Reyesland,0,Gabon,2016-06-19 22:08:15,0
74.63,26,51975.41,235.99,Enhanced asymmetric installation,New Traceystad,1,Dominican Republic,2016-07-05 20:16:13,0
49.67,27,28019.09,153.69,Face-to-face reciprocal methodology,Port Brian,0,Zimbabwe,2016-05-09 08:44:55,1
80.59,37,67744.56,224.23,Robust responsive collaboration,Lake Courtney,0,Croatia,2016-07-21 23:14:35,0
83.49,33,66574.0,190.75,Polarized logistical hub,Samuelborough,1,Cambodia,2016-06-03 17:32:47,0
44.46,42,30487.48,132.66,Intuitive zero-defect framework,Christinehaven,1,Mongolia,2016-01-15 19:40:47,1
68.1,40,74903.41,227.73,Reactive composite project,Thomasstad,1,Honduras,2016-02-05 16:50:58,0
63.88,38,19991.72,136.85,Upgradable even-keeled hardware,Kristintown,0,Madagascar,2016-02-29 23:56:06,1
78.83,36,66050.63,234.64,Future-proofed responsive matrix,New Wanda,1,Qatar,2016-05-08 12:08:26,0
79.97,44,70449.04,216.0,Programmable empowering middleware,Mariebury,0,China,2016-07-13 01:48:46,0
80.51,28,64008.55,200.28,Robust dedicated system engine,Christopherville,1,Bangladesh,2016-01-08 02:34:06,0
62.26,26,70203.74,202.77,Public-key mission-critical core,New Jasmine,0,Swaziland,2016-06-08 12:25:49,0
66.99,47,27262.51,124.44,Operative actuating installation,Lopezberg,1,Tanzania,2016-06-15 11:56:41,1
71.05,20,49544.41,204.22,Self-enabling asynchronous knowledge user,Jenniferstad,1,Eritrea,2016-06-13 22:41:45,0
42.05,51,28357.27,174.55,Configurable 24/7 hub,West Eduardotown,1,Canada,2016-06-20 14:20:52,1
50.52,28,66929.03,219.69,Versatile responsive knowledge user,Davisfurt,0,Saint Kitts and Nevis,2016-04-03 06:17:22,1
76.24,40,75524.78,198.32,Managed impactful definition,Bakerhaven,1,Burkina Faso,2016-05-31 23:42:26,0
77.29,27,66265.34,201.24,Grass-roots 4thgeneration forecast,Paulshire,1,Tuvalu,2016-02-15 03:43:55,0
35.98,47,55993.68,165.52,Focused 3rdgeneration pricing structure,West Jane,1,El Salvador,2016-03-10 23:26:54,1
84.95,34,56379.3,230.36,Mandatory dedicated data-warehouse,Lake Brian,0,Madagascar,2016-02-26 17:01:01,0
39.34,43,31215.88,148.93,Proactive radical support,Alvaradoport,0,Bangladesh,2016-04-17 21:39:11,1
87.23,29,51015.11,202.12,Re-engineered responsive definition,Lake Kevin,0,American Samoa,2016-03-26 19:54:16,0
57.24,52,46473.14,117.35,Profound optimizing utilization,Richardsonland,1,Latvia,2016-06-29 21:39:42,1
81.58,41,55479.62,248.16,Cloned explicit middleware,East Sheriville,0,Moldova,2016-01-27 17:55:44,0
56.34,50,68713.7,139.02,Multi-channeled mission-critical success,Port Michealburgh,1,Anguilla,2016-03-17 23:39:28,1
48.73,27,34191.23,142.04,Versatile content-based protocol,Monicaview,0,Bangladesh,2016-07-09 16:23:33,1
51.68,49,51067.54,258.62,Seamless cohesive conglomeration,Katieport,0,Faroe Islands,2016-06-28 12:51:02,1
35.34,45,46693.76,152.86,De-engineered actuating hierarchy,East Brittanyville,0,Taiwan,2016-06-18 16:32:58,1
48.09,33,19345.36,180.42,Balanced motivating help-desk,West Travismouth,0,Heard Island and McDonald Islands,2016-05-28 12:38:37,1
78.68,29,66225.72,208.05,Inverse high-level capability,Leonchester,0,Israel,2016-01-16 16:40:30,0
68.82,20,38609.2,205.64,Cross-platform client-server hierarchy,Ramirezland,1,Bolivia,2016-07-11 15:45:23,0
56.99,40,37713.23,108.15,Sharable optimal capacity,Brownton,0,Bahamas,2016-07-16 23:08:54,1
86.63,39,63764.28,209.64,Face-to-face multimedia success,New Jessicaport,1,Costa Rica,2016-04-06 21:20:07,0
41.18,43,41866.55,129.25,Enterprise-wide incremental Internet solution,New Denisebury,1,Myanmar,2016-07-05 00:54:11,1
71.03,32,57846.68,120.85,Advanced systemic productivity,Keithtown,0,Netherlands Antilles,2016-02-17 23:47:00,1
72.92,29,69428.73,217.1,Customizable mission-critical adapter,Port Melissastad,1,Czech Republic,2016-03-15 17:33:15,0
77.14,24,60283.98,184.88,Horizontal heuristic synergy,Janiceview,1,Iceland,2016-01-21 18:51:01,0
60.7,43,79332.33,192.6,Multi-tiered multi-state moderator,Mataberg,1,Palau,2016-06-06 22:41:24,0
34.3,41,53167.68,160.74,Re-contextualized reciprocal interface,West Melaniefurt,1,Libyan Arab Jamahiriya,2016-05-16 14:50:22,1
83.71,45,64564.07,220.48,Organized demand-driven knowledgebase,Millerfort,1,Kazakhstan,2016-04-17 19:10:56,0
53.38,35,60803.37,120.06,Total local synergy,Alexanderview,1,French Guiana,2016-03-30 01:05:34,1
58.03,31,28387.42,129.33,User-friendly bandwidth-monitored attitude,South Jade,0,Tuvalu,2016-06-29 09:04:31,1
43.59,36,58849.77,132.31,Re-engineered context-sensitive knowledge user,Lake Susan,1,Congo,2016-05-26 13:43:05,1
60.07,42,65963.37,120.75,Total user-facing hierarchy,South Vincentchester,1,United Kingdom,2016-04-15 10:16:49,1
54.43,37,75180.2,154.74,Balanced contextually-based pricing structure,Williamsmouth,1,Luxembourg,2016-05-31 09:06:29,1
81.99,33,61270.14,230.9,Inverse bi-directional knowledge user,Taylorport,0,French Polynesia,2016-02-15 14:13:47,0
60.53,29,56759.48,123.28,Networked even-keeled workforce,Williamsport,0,Papua New Guinea,2016-05-09 10:21:48,1
84.69,31,46160.63,231.85,Right-sized transitional parallelism,Emilyfurt,1,Maldives,2016-07-07 23:32:38,0
88.72,32,43870.51,211.87,Customer-focused system-worthy superstructure,East John,1,Zambia,2016-01-03 17:10:05,0
88.89,35,50439.49,218.8,Balanced 4thgeneration success,East Deborahhaven,1,Cook Islands,2016-07-17 18:55:38,0
69.58,43,28028.74,255.07,Cross-group value-added success,Port Katelynview,0,Congo,2016-04-04 18:36:59,1
85.23,36,64238.71,212.92,Visionary client-driven installation,Paulhaven,1,Senegal,2016-02-27 12:34:19,0
83.55,39,65816.38,221.18,Switchable well-modulated infrastructure,Elizabethmouth,1,Myanmar,2016-06-08 20:13:27,0
56.66,42,72684.44,139.42,Upgradable asymmetric emulation,Lake Jesus,0,Dominican Republic,2016-02-20 10:52:51,1
56.39,27,38817.4,248.12,Configurable tertiary capability,North Tylerland,1,Bahrain,2016-03-23 21:06:51,0
76.24,27,63976.44,214.42,Monitored dynamic instruction set,Munozberg,0,Puerto Rico,2016-06-07 01:29:06,0
57.64,36,37212.54,110.25,Robust web-enabled attitude,North Maryland,1,Chile,2016-01-18 15:18:01,1
78.18,23,52691.79,167.67,Customer-focused full-range neural-net,West Barbara,0,Bolivia,2016-06-09 19:32:27,0
46.04,32,65499.93,147.92,Universal transitional Graphical User Interface,Andrewborough,0,Serbia,2016-05-30 20:07:59,1
79.4,35,63966.72,236.87,User-centric intangible contingency,New Gabriel,0,Malaysia,2016-04-01 09:21:14,0
36.44,39,52400.88,147.64,Configurable disintermediate throughput,Port Patrickton,1,Estonia,2016-05-31 06:21:02,1
53.14,38,49111.47,109.0,Automated web-enabled migration,West Julia,1,Greenland,2016-07-03 22:13:19,1
32.84,40,41232.89,171.72,Triple-buffered 3rdgeneration migration,New Keithburgh,0,Trinidad and Tobago,2016-03-10 01:36:19,1
73.72,32,52140.04,256.4,Universal contextually-based system engine,Richardsland,1,Thailand,2016-03-18 02:39:26,0
38.1,34,60641.09,214.38,Optional secondary access,North Aaronchester,1,Philippines,2016-05-30 18:08:19,1
73.93,44,74180.05,218.22,Quality-focused scalable utilization,Lake Matthewland,0,Niue,2016-02-20 00:06:20,0
51.87,50,51869.87,119.65,Team-oriented dynamic forecast,Kevinberg,0,Afghanistan,2016-03-10 22:28:52,1
77.69,22,48852.58,169.88,Horizontal heuristic support,Morganfort,1,Angola,2016-06-21 14:32:32,0
43.41,28,59144.02,160.73,Customer-focused zero-defect process improvement,Lovemouth,0,Egypt,2016-02-05 15:26:37,1
55.92,24,33951.63,145.08,Focused systemic benchmark,Taylorhaven,0,Fiji,2016-05-31 21:41:46,1
80.67,34,58909.36,239.76,Seamless impactful info-mediaries,Jamesville,0,Portugal,2016-01-01 02:52:10,0
83.42,25,49850.52,183.42,Advanced heuristic firmware,East Toddfort,1,Austria,2016-03-04 14:10:12,0
82.12,52,28679.93,201.15,Fully-configurable client-driven customer loyalty,East Dana,1,Germany,2016-02-03 10:40:27,1
66.17,33,69869.66,238.45,Cross-group neutral synergy,West Lucas,0,Panama,2016-01-20 00:26:15,0
43.01,35,48347.64,127.37,Organized 24/7 middleware,Butlerfort,0,United States of America,2016-06-11 09:37:52,1
80.05,25,45959.86,219.94,Networked stable open architecture,Lindaside,1,Christmas Island,2016-03-08 05:48:20,0
64.88,42,70005.51,129.8,Customizable systematic service-desk,West Chloeborough,1,Equatorial Guinea,2016-02-14 22:23:30,1
79.82,26,51512.66,223.28,Function-based directional productivity,Jayville,1,Micronesia,2016-07-17 22:04:54,0
48.03,40,25598.75,134.6,Networked stable array,East Lindsey,1,Malta,2016-06-02 22:16:08,1
32.99,45,49282.87,177.46,Phased full-range hardware,Masseyshire,0,Ecuador,2016-04-30 19:42:04,1
74.88,27,67240.25,175.17,Organized empowering policy,Sarahton,1,Sudan,2016-04-17 06:58:18,0
36.49,52,42136.33,196.61,Object-based system-worthy superstructure,Ryanhaven,1,Lao People's Democratic Republic,2016-03-09 00:41:46,1
88.04,45,62589.84,191.17,Profound explicit hardware,Lake Deborahburgh,1,Saint Vincent and the Grenadines,2016-03-07 20:02:51,0
45.7,33,67384.31,151.12,Self-enabling multimedia system engine,New Williammouth,1,Switzerland,2016-05-26 10:33:00,1
82.38,35,25603.93,159.6,Polarized analyzing intranet,Port Blake,0,Spain,2016-07-18 01:36:37,1
52.68,23,39616.0,149.2,Vision-oriented attitude-oriented Internet solution,West Richard,1,Turks and Caicos Islands,2016-07-16 05:56:42,1
65.59,47,28265.81,121.81,Digitized disintermediate ability,Brandymouth,0,Indonesia,2016-03-22 06:41:38,1
65.65,25,63879.72,224.92,Intuitive explicit firmware,Sandraville,1,Cook Islands,2016-06-03 06:34:44,0
43.84,36,70592.81,167.42,Public-key real-time definition,Port Jessica,0,Australia,2016-06-28 09:19:06,1
67.69,37,76408.19,216.57,Monitored content-based implementation,Lake Jasonchester,0,Finland,2016-07-18 18:33:05,0
78.37,24,55015.08,207.27,Quality-focused zero-defect budgetary management,Pearsonfort,0,Pakistan,2016-01-23 04:47:37,0
81.46,29,51636.12,231.54,Intuitive fresh-thinking moderator,Sellerstown,0,Ireland,2016-02-29 11:00:06,0
47.48,31,29359.2,141.34,Reverse-engineered 24hour hardware,Yuton,0,Eritrea,2016-06-30 00:19:33,1
75.15,33,71296.67,219.49,Synchronized zero tolerance product,Smithtown,1,France,2016-06-19 18:19:38,0
78.76,24,46422.76,219.98,Reactive interactive protocol,Joanntown,1,Austria,2016-01-08 08:08:47,0
44.96,50,52802.0,132.71,Focused fresh-thinking Graphic Interface,South Peter,1,Heard Island and McDonald Islands,2016-01-02 12:25:36,1
39.56,41,59243.46,143.13,Ameliorated exuding solution,Port Mitchell,1,Western Sahara,2016-05-13 11:57:12,1
39.76,28,35350.55,196.83,Integrated maximized service-desk,Pottermouth,1,Liberia,2016-02-08 14:02:22,1
57.11,22,59677.64,207.17,Self-enabling tertiary challenge,Lake Jonathanview,1,Dominican Republic,2016-06-07 23:46:51,0
83.26,40,70225.6,187.76,Decentralized foreground infrastructure,Alanview,1,Tonga,2016-01-02 14:36:03,0
69.42,25,65791.17,213.38,Quality-focused hybrid frame,Carterport,0,Lao People's Democratic Republic,2016-02-13 04:16:08,0
50.6,30,34191.13,129.88,Realigned reciprocal framework,New Daniellefort,1,United States of America,2016-05-03 12:57:19,1
46.2,37,51315.38,119.3,Distributed maximized ability,Welchshire,0,Belgium,2016-04-03 11:38:36,1
66.88,35,62790.96,119.47,Polarized bifurcated array,Russellville,1,Indonesia,2016-03-23 19:58:15,1
83.97,40,66291.67,158.42,Progressive asynchronous adapter,West Lisa,1,Croatia,2016-02-02 11:49:18,0
76.56,30,68030.18,213.75,Business-focused high-level hardware,Greentown,0,Brunei Darussalam,2016-03-08 10:39:16,0
35.49,48,43974.49,159.77,Fully-configurable holistic throughput,Timothyport,0,American Samoa,2016-04-08 14:35:44,1
80.29,31,49457.48,244.87,Ameliorated contextually-based collaboration,Teresahaven,1,Netherlands Antilles,2016-06-30 00:40:31,0
50.19,40,33987.27,117.3,Progressive uniform budgetary management,Lake Stephenborough,0,Thailand,2016-03-25 19:02:35,1
59.12,33,28210.03,124.54,Synergistic stable infrastructure,Silvaton,0,Greece,2016-05-12 21:32:06,1
59.88,30,75535.14,193.63,Reverse-engineered content-based intranet,West Michaelstad,1,French Polynesia,2016-03-02 05:11:01,0
59.7,28,49158.5,120.25,Expanded zero administration attitude,Florestown,0,Guernsey,2016-05-10 14:12:31,1
67.8,30,39809.69,117.75,Team-oriented 6thgeneration extranet,New Jay,1,Isle of Man,2016-03-03 02:59:37,1
81.59,35,65826.53,223.16,Managed disintermediate capability,North Lisachester,0,Holy See (Vatican City State),2016-07-04 11:03:49,0
81.1,29,61172.07,216.49,Front-line dynamic model,Port Stacy,1,El Salvador,2016-07-08 03:47:41,0
41.7,39,42898.21,126.95,Innovative regional structure,Jensenton,0,China,2016-05-27 05:35:27,1
73.94,27,68333.01,173.49,Function-based incremental standardization,North Alexandra,0,Myanmar,2016-02-10 13:46:35,0
58.35,37,70232.95,132.63,Universal asymmetric workforce,Rivasland,0,Macao,2016-06-12 21:21:53,1
51.56,46,63102.19,124.85,Business-focused client-driven forecast,Helenborough,0,Australia,2016-01-07 13:58:51,1
79.81,37,51847.26,253.17,Realigned global initiative,Garnerberg,0,United States Virgin Islands,2016-05-13 14:12:39,0
66.17,26,63580.22,228.7,Business-focused maximized complexity,North Anaport,0,Mexico,2016-05-02 00:01:56,0
58.21,37,47575.44,105.94,Open-source global strategy,Pattymouth,0,Djibouti,2016-02-07 17:06:35,1
66.12,49,39031.89,113.8,Stand-alone motivating moratorium,South Alexisborough,0,Cote d'Ivoire,2016-02-15 07:27:41,1
80.47,42,70505.06,215.18,Grass-roots multimedia policy,East Jennifer,1,Mali,2016-02-21 05:23:28,0
77.05,31,62161.26,236.64,Upgradable local migration,Hallfort,0,Jamaica,2016-03-20 22:27:25,0
49.99,41,61068.26,121.07,Profound bottom-line standardization,New Charleschester,0,Romania,2016-03-24 09:34:00,1
80.3,58,49090.51,173.43,Managed client-server access,East Breannafurt,0,Cayman Islands,2016-04-04 20:01:12,1
79.36,33,62330.75,234.72,Cross-platform directional intranet,East Susanland,1,Gambia,2016-01-02 04:50:44,0
57.86,30,18819.34,166.86,Horizontal modular success,Estesfurt,0,Algeria,2016-07-08 17:14:01,1
70.29,26,62053.37,231.37,Vision-oriented multi-tasking success,Shirleyfort,1,Puerto Rico,2016-03-28 19:48:37,0
84.53,33,61922.06,215.18,Optional multi-state hardware,Douglasview,1,Norfolk Island,2016-07-11 09:32:53,0
59.13,44,49525.37,106.04,Upgradable heuristic system engine,South Lisa,1,Turkey,2016-06-09 17:11:02,1
81.51,41,53412.32,250.03,Future-proofed modular utilization,Kingshire,0,Guinea,2016-05-19 09:30:12,0
42.94,37,56681.65,130.4,Synergistic dynamic orchestration,Rebeccamouth,1,Moldova,2016-04-12 12:35:39,1
84.81,32,43299.63,233.93,Multi-layered stable encoding,Brownbury,1,Greece,2016-07-04 23:17:47,0
82.79,34,47997.75,132.08,Team-oriented zero-defect initiative,South Aaron,0,American Samoa,2016-02-01 00:52:29,1
59.22,55,39131.53,126.39,Polarized 5thgeneration matrix,North Andrew,1,Honduras,2016-01-13 02:39:00,1
35.0,40,46033.73,151.25,Fully-configurable context-sensitive Graphic Interface,South Walter,1,Mongolia,2016-06-18 16:02:34,1
46.61,42,65856.74,136.18,Progressive intermediate throughput,Catherinefort,0,Ethiopia,2016-01-01 20:17:49,1
63.26,29,54787.37,120.46,Customizable holistic archive,East Donna,1,Ethiopia,2016-03-02 04:02:45,1
79.16,32,69562.46,202.9,Compatible intermediate concept,East Timothy,1,Sri Lanka,2016-03-30 20:23:48,0
67.94,43,68447.17,128.16,Assimilated next generation firmware,North Kimberly,0,Morocco,2016-05-01 00:23:13,1
79.91,32,62772.42,230.18,Total zero administration software,South Stephanieport,1,United Arab Emirates,2016-06-17 03:02:55,0
66.14,41,78092.95,165.27,Re-engineered impactful software,North Isabellaville,0,Western Sahara,2016-03-23 08:52:31,0
43.65,39,63649.04,138.87,Business-focused background synergy,North Aaronburgh,0,Western Sahara,2016-05-08 22:24:27,1
59.61,21,60637.62,198.45,Future-proofed coherent budgetary management,Port James,1,Cambodia,2016-04-06 05:55:43,0
46.61,52,27241.11,156.99,Ergonomic methodical encoding,Danielview,0,New Zealand,2016-04-05 05:54:15,1
89.37,34,42760.22,162.03,Compatible dedicated productivity,Port Stacey,1,Australia,2016-04-16 12:26:31,0
65.1,49,59457.52,118.1,Up-sized real-time methodology,West Kevinfurt,1,Bulgaria,2016-06-01 03:44:42,1
53.44,42,42907.89,108.17,Up-sized next generation architecture,Lake Jennifer,1,Libyan Arab Jamahiriya,2016-04-04 22:00:15,1
79.53,51,46132.18,244.91,Managed 6thgeneration hierarchy,Reyesfurt,0,Barbados,2016-06-26 04:22:26,0
91.43,39,46964.11,209.91,Organic motivating model,West Carmenfurt,1,French Polynesia,2016-07-07 03:55:01,0
73.57,30,70377.23,212.38,Pre-emptive transitional protocol,North Stephanieberg,0,Uruguay,2016-03-20 08:22:50,0
78.76,32,70012.83,208.02,Managed attitude-oriented Internet solution,East Valerie,1,Uruguay,2016-04-20 10:04:29,0
